host_name,listing_id,listing_name,listing_url
Marie,1282918,Lovely & big studio center of Lyon (Bellecour),https://www.airbnb.com/rooms/1282918
Sébastien,2897630,chambre proche du centre - M2-1,https://www.airbnb.com/rooms/2897630
Jim,3817264,Appartement au coeur des Lumières,https://www.airbnb.com/rooms/3817264
Marcela,4735745,¡La plus petite rue de Lyon!,https://www.airbnb.com/rooms/4735745
Hubert,5138043,Perrache Appartement 3 chambres,https://www.airbnb.com/rooms/5138043
Agnès,9113115,Ideal for groups or families : LYON city center!,https://www.airbnb.com/rooms/9113115
Sandrine,12747490,appartement familial lyon ⚄,https://www.airbnb.com/rooms/12747490
Marie-Noëlle,13394697,Pavillon de jardin au coeur d'un parc arboré,https://www.airbnb.com/rooms/13394697
Ana,13808988,Charming apartment/room in the heart of Lyon,https://www.airbnb.com/rooms/13808988
Lili,16170392,grand T2 dans maison lyon 8,https://www.airbnb.com/rooms/16170392
Habib,17973886,Appartement 35m2 avec grand balcon.,https://www.airbnb.com/rooms/17973886
Djawad,18936198,Studio Gare de la Part Dieu,https://www.airbnb.com/rooms/18936198
Thibaut,19157811,Chambre au cœur de Lyon,https://www.airbnb.com/rooms/19157811
Agnès,20168946,Your wonderful flat in Lyon !,https://www.airbnb.com/rooms/20168946
Fabrice,20592522,"Séjour lyonnais , charmant appartement",https://www.airbnb.com/rooms/20592522
Carine & Daniel,21212279,HONORÊ - SUITE ROMAIN (4 PERS),https://www.airbnb.com/rooms/21212279
Carine & Daniel,21213126,HONORÊ -SUITE MERCIERE (2 PERS),https://www.airbnb.com/rooms/21213126
Constance,21545890,Appartement cœur de la presqu’ile,https://www.airbnb.com/rooms/21545890
Carine & Daniel,22045751,HONORÊ - SUITE 3 MARIES (4 PERS),https://www.airbnb.com/rooms/22045751
Agnès,22922304,Grande chambre spacieuse et lumineuse à  Lyon!,https://www.airbnb.com/rooms/22922304
Mickael,23299126,Appartement canut,https://www.airbnb.com/rooms/23299126
Alexandre,23318208,"Appartement tout équipé, idéal en famille",https://www.airbnb.com/rooms/23318208
Mathilde,24625696,Chambre Lyon 8,https://www.airbnb.com/rooms/24625696
Freddy,25079047,"Apartment for 4 people in Lyon, ideal for events",https://www.airbnb.com/rooms/25079047
Léa,25976102,Bel appartement canut au cœur de La Croix Rousse,https://www.airbnb.com/rooms/25976102
Kris,27575246,Bienvenue au Pays de Guignol,https://www.airbnb.com/rooms/27575246
Roro,29329691,Nice appartement near Part Dieu,https://www.airbnb.com/rooms/29329691
Rim,29405493,Lovely studio in the center of Lyon,https://www.airbnb.com/rooms/29405493
Николай,29694502,Spacious apartment in the very heart of Lyon,https://www.airbnb.com/rooms/29694502
Chehrazade,29700792,Charmant appartement haussmanien,https://www.airbnb.com/rooms/29700792
Alain Et Véronique,29778555,RHONE RASPAIL - berges du Rhône,https://www.airbnb.com/rooms/29778555
Yohann,29797313,Charmant T2 - Centre de Lyon,https://www.airbnb.com/rooms/29797313
Alexis,29841583,"Joli appartement Haussmanien, coeur presque île",https://www.airbnb.com/rooms/29841583
Gabrielle,29849563,Grand appartement proche du centre de Lyon,https://www.airbnb.com/rooms/29849563
Denis,29877537,"Bel Appartement Lumineux, Garibaldi.",https://www.airbnb.com/rooms/29877537
Noélie,29954947,Appartement / studio cosy dans un immeuble ancien,https://www.airbnb.com/rooms/29954947
Marine,29956676,Cocon chaleureux en bord de Saône : Lyon centre,https://www.airbnb.com/rooms/29956676
Théo,30057666,Studio Lyon 6ème,https://www.airbnb.com/rooms/30057666
Roeum,30083890,"Appartement cosy à la Part Dieu, 80m2",https://www.airbnb.com/rooms/30083890
Franck,30087059,Charmant appartement F3,https://www.airbnb.com/rooms/30087059
Loic,30100539,Chambre au calme rez de jardin,https://www.airbnb.com/rooms/30100539
Marie Hélène,30100740,Bel appartement lyonnais en presqu’île,https://www.airbnb.com/rooms/30100740
Camille,30106594,Joli appartement lumineux en plein centre,https://www.airbnb.com/rooms/30106594
Sophie,30126041,Loft style canut bourgeois - Plein cœur de Lyon,https://www.airbnb.com/rooms/30126041
Caroline,30189972,Appartement familial - Chevreul -Jean Macé,https://www.airbnb.com/rooms/30189972
Bastien,30191483,Studio de 32 m2 à Suchet sur la presqu'ile de Lyon,https://www.airbnb.com/rooms/30191483
Théo,30227195,Belle appartement en plein coeur de Croix-Rousse,https://www.airbnb.com/rooms/30227195
Julian,30259946,Appartement étudiant Vieux Lyon,https://www.airbnb.com/rooms/30259946
Thibaud,30263273,Chambre privée au coeur de Lyon,https://www.airbnb.com/rooms/30263273
Sophie,30267134,Appartement standing Lyon 6 Parc de la tête d’or,https://www.airbnb.com/rooms/30267134
Mathilde,30334946,Agréable studio à Grange Blanche,https://www.airbnb.com/rooms/30334946
Klymentiy,30358064,Great flat near metro. 8 min from city center,https://www.airbnb.com/rooms/30358064
Marion,30359392,Chambres proches Bellecour Fête des Lumières,https://www.airbnb.com/rooms/30359392
Emeraude,30370001,Joli appartement 45m² - proche Bellecour,https://www.airbnb.com/rooms/30370001
Linda,30394719,"Les pentes, quartier bohème de Lyon",https://www.airbnb.com/rooms/30394719
